"Compound","Effect","Metabolite","Plate","Dose","SampleType","Well","ApexIntensity"
"Busulfan","Cardiotoxic","Thymidine.D4","C176",10,"media","h9",70027.671875
"Busulfan","Cardiotoxic","Thymidine","C176",10,"cells","g9",48544.3125
"Busulfan","Cardiotoxic","Arachidonic Acid","C176",10,"cells","e9",361287.34375
"Busulfan","Cardiotoxic","Thymidine","C176",30,"cells","e10",57274.6953125
"Busulfan","Cardiotoxic","Citrulline-D4","C176",10,"media","h9",32796.5078125
"Busulfan","Cardiotoxic","Thymidine.D4","C176",3,"cells","e8",67186.0859375
"Busulfan","Cardiotoxic","Lactate.D3","C176",3,"media","h8",11435.8095703125
"Cetirizine","Non","Lactate","C177",100,"media","a11",18160.80078125
"Cetirizine","Non","Thymidine","C177",10,"cells","c9",23437.08203125
"Cetirizine","Non","2'-deoxycytidine","C177",0.1,"cells","c5",11370.029296875
"Cetirizine","Non","Thymidine","C177",0.03,"cells","b4",20610.7890625
"Cetirizine","Non","Thymidine","C177",10,"media","a9",4513.572265625
"Cetirizine","Non","Lactate","C177",100,"cells","d11",97713.4609375
"Cetirizine","Non","2'-deoxycytidine","C177",0.1,"cells","d5",10511.8564453125
"Cetirizine","Non","Thymidine","C177",10,"cells","d9",21116.109375
"Cetirizine","Non","Lactate","C177",100,"cells","b11",110277.4765625
"Cetirizine","Non","Citrulline-D4","C177",1,"cells","c7",30641.2265625
"Cetirizine","Non","2'-deoxycytidine","C177",0.03,"cells","c4",10477.986328125
"Cetirizine","Non","Arachidonic Acid","C177",10,"cells","c9",414704.59375
"Cetirizine","Non","Lactate.D3","C177",0.1,"cells","c5",10530.87890625
"Cetirizine","Non","Lactate","C177",0.3,"media","a6",23982.31640625
"Cetirizine","Non","2'-deoxycytidine","C177",0.1,"cells","b5",10340.9091796875
"Cetirizine","Non","Lactate","C177",0.3,"cells","b6",30767.900390625
"Cetirizine","Non","Lactate","C177",0.3,"cells","d6",25737.404296875
"Cetirizine","Non","2'-deoxycytidine","C177",0.03,"cells","d4",9942.677734375
"Cetirizine","Non","2'-deoxycytidine","C177",10,"cells","d9",10705.275390625
"Cetirizine","Non","Lactate","C177",3,"media","a8",20042.78125
"Cetirizine","Non","Lactate","C177",0.3,"cells","c6",26269.9609375
"Cetirizine","Non","2'-deoxycytidine","C177",0.1,"media","a5",901.581237792969
"Cetirizine","Non","Lactate.D3","C177",30,"cells","b10",11424.8369140625
"Cetirizine","Non","Lactate","C177",3,"cells","b8",38080.1484375
"Cetirizine","Non","Arachidonic Acid","C177",100,"cells","c11",1182404.125
"Cetirizine","Non","Lactate.D3","C177",30,"media","a10",11639.576171875
"Cetirizine","Non","Citrulline-D4","C177",0.03,"cells","d4",29458.962890625
"Cetirizine","Non","Citrulline-D4","C177",0.03,"media","a4",32037.171875
"Cetirizine","Non","Citrulline-D4","C177",1,"cells","d7",33666.4296875
"Cetirizine","Non","Thymidine","C177",3,"cells","d8",23408.677734375
"Cetirizine","Non","Lactate.D3","C177",0.1,"cells","d5",10418.9716796875
"Cetirizine","Non","Citrulline-D4","C177",0.03,"cells","c4",29162.125
"Cetirizine","Non","Lactate.D3","C177",0.1,"media","a5",12790.03515625
"Cetirizine","Non","Lactate.D3","C177",0.3,"cells","c6",10357.958984375
"Cetirizine","Non","Lactate.D3","C177",0.1,"cells","b5",10995.2333984375
"Cetirizine","Non","Citrulline-D4","C177",1,"media","a7",30950.171875
"Cetirizine","Non","Thymidine.D4","C177",0.1,"cells","b5",68416.3046875
"Cetirizine","Non","Thymidine","C177",3,"cells","c8",22308.646484375
"Cetirizine","Non","Thymidine.D4","C177",3,"cells","d8",70024.3984375
"Cetirizine","Non","Thymidine.D4","C177",0.03,"cells","c4",70584.8046875
"Cetirizine","Non","Lactate.D3","C177",100,"media","a11",11243.392578125
"Cetirizine","Non","Lactate.D3","C177",100,"cells","b11",13676.7890625
"Cetirizine","Non","Thymidine.D4","C177",0.03,"media","a4",71022.640625
"Cetirizine","Non","2'-deoxycytidine","C177",0.3,"cells","c6",10229.017578125
"Cetirizine","Non","Arachidonic Acid","C177",100,"cells","d11",1016883.3125
"Cetirizine","Non","Arachidonic Acid","C177",10,"cells","b9",521390.8125
"Cetirizine","Non","Thymidine.D4","C177",100,"cells","b11",66609.9921875
"Cetirizine","Non","Lactate","C177",1,"cells","d7",28787.265625
"Cetirizine","Non","Arachidonic Acid","C177",3,"cells","d8",352572.5
"Cetirizine","Non","2'-deoxycytidine","C177",0.03,"cells","b4",9534.6220703125
"Cetirizine","Non","Citrulline-D4","C177",3,"cells","d8",31910.279296875
"Cetirizine","Non","Thymidine.D4","C177",0.1,"cells","c5",68747.21875
"Cetirizine","Non","Thymidine.D4","C177",0.1,"cells","d5",66440.3515625
"Cetirizine","Non","Lactate.D3","C177",30,"cells","c10",10680.421875
"Cetirizine","Non","Thymidine","C177",0.03,"cells","c4",18885.869140625
"Cetirizine","Non","Thymidine","C177",0.03,"media","a4",4918.67578125
"Cetirizine","Non","Lactate.D3","C177",100,"cells","d11",13688.931640625
"Cetirizine","Non","2'-deoxycytidine","C177",30,"media","a10",873.525268554688
"Cetirizine","Non","Citrulline-D4","C177",0.3,"cells","c6",31658.31640625
"Cetirizine","Non","Citrulline-D4","C177",0.03,"cells","b4",30978.931640625
"Cetirizine","Non","2'-deoxycytidine","C177",0.03,"media","a4",1399.19958496094
"Cetirizine","Non","2'-deoxycytidine","C177",10,"cells","b9",10191.884765625
"Cetirizine","Non","Citrulline-D4","C177",3,"cells","c8",32867.63671875
"Cetirizine","Non","Arachidonic Acid","C177",30,"cells","c10",568901.4375
"Cetirizine","Non","Thymidine","C177",3,"cells","b8",22381.283203125
"Cetirizine","Non","2'-deoxycytidine","C177",10,"cells","c9",11802.736328125
"Cetirizine","Non","Arachidonic Acid","C177",1,"media","a7",380966.65625
"Cetirizine","Non","Arachidonic Acid","C177",1,"cells","b7",363106.3125
"Cetirizine","Non","Thymidine","C177",10,"cells","b9",25462.537109375
"Cetirizine","Non","Lactate","C177",1,"media","a7",16901.38671875
"Cetirizine","Non","Citrulline-D4","C177",1,"cells","b7",31467.80859375
"Cetirizine","Non","2'-deoxycytidine","C177",0.3,"cells","b6",11870.7412109375
"Cetirizine","Non","Lactate","C177",30,"cells","d10",36838.32421875
"Cetirizine","Non","Lactate.D3","C177",0.3,"cells","b6",12827.6728515625
"Cetirizine","Non","Lactate.D3","C177",0.3,"cells","d6",9908.0380859375
"Cetirizine","Non","Thymidine.D4","C177",0.1,"media","a5",70577.40625
"Cetirizine","Non","2'-deoxycytidine","C177",3,"cells","d8",10454.462890625
"Cetirizine","Non","2'-deoxycytidine","C177",1,"cells","d7",11634.2060546875
"Cetirizine","Non","Lactate","C177",10,"cells","c9",32646.65234375
"Cetirizine","Non","Lactate","C177",3,"cells","d8",30030.853515625
"Cetirizine","Non","Lactate","C177",3,"cells","c8",28534.81640625
"Cetirizine","Non","Citrulline-D4","C177",0.1,"cells","c5",31788.470703125
"Cetirizine","Non","Lactate.D3","C177",30,"cells","d10",11666.3251953125
"Cetirizine","Non","Thymidine","C177",0.03,"cells","d4",18015.603515625
"Cetirizine","Non","Lactate","C177",30,"cells","b10",43533.6015625
"Cetirizine","Non","Lactate","C177",1,"cells","c7",27667.640625
"Cetirizine","Non","Thymidine.D4","C177",100,"cells","d11",66010.5
"Cetirizine","Non","Thymidine.D4","C177",100,"media","a11",69866
"Cetirizine","Non","Thymidine","C177",3,"media","a8",4374.7880859375
"Cetirizine","Non","Thymidine.D4","C177",1,"media","a7",73096.265625
"Cetirizine","Non","Lactate","C177",0.1,"cells","d5",24385.240234375
"Cetirizine","Non","2'-deoxycytidine","C177",3,"cells","b8",10453.28515625
"Cetirizine","Non","Lactate","C177",10,"media","a9",19501.1328125
"Cetirizine","Non","Lactate","C177",10,"cells","b9",28571.30859375
"Cetirizine","Non","Thymidine.D4","C177",0.3,"cells","d6",65971.6953125
"Cetirizine","Non","2'-deoxycytidine","C177",1,"media","a7",1121.388671875
"Cetirizine","Non","Lactate","C177",100,"cells","c11",132517.40625
"Cetirizine","Non","Lactate","C177",1,"cells","b7",31343.40625
"Cetirizine","Non","Thymidine.D4","C177",10,"cells","c9",64243.13671875
"Cetirizine","Non","Arachidonic Acid","C177",10,"media","a9",399177.21875
"Cetirizine","Non","Citrulline-D4","C177",3,"cells","b8",33584.859375
"Cetirizine","Non","Citrulline-D4","C177",3,"media","a8",31416.447265625
"Cetirizine","Non","Lactate.D3","C177",10,"media","a9",12228.4296875
"Cetirizine","Non","Thymidine.D4","C177",1,"cells","c7",68739.640625
"Cetirizine","Non","Arachidonic Acid","C177",30,"cells","d10",431003.0625
"Cetirizine","Non","Arachidonic Acid","C177",0.3,"cells","d6",344539.9375
"Cetirizine","Non","Thymidine","C177",0.1,"cells","c5",20013.861328125
"Cetirizine","Non","2'-deoxycytidine","C177",0.3,"cells","d6",10851.763671875
"Cetirizine","Non","Thymidine.D4","C177",0.3,"cells","c6",67344.0546875
"Cetirizine","Non","2'-deoxycytidine","C177",10,"media","a9",1039.85681152344
"Cetirizine","Non","Citrulline-D4","C177",0.1,"media","a5",34163.6640625
"Cetirizine","Non","Lactate.D3","C177",0.03,"cells","c4",11701.1240234375
"Cetirizine","Non","Citrulline-D4","C177",0.3,"cells","d6",28868.0078125
"Cetirizine","Non","Citrulline-D4","C177",100,"cells","b11",31465.146484375
"Cetirizine","Non","Thymidine.D4","C177",100,"cells","c11",68013.484375
"Cetirizine","Non","Lactate","C177",0.1,"cells","c5",27642.056640625
"Cetirizine","Non","Thymidine","C177",100,"cells","c11",15442.177734375
"Cetirizine","Non","Arachidonic Acid","C177",0.3,"cells","b6",333266.3125
"Cetirizine","Non","Lactate.D3","C177",10,"cells","b9",11158.720703125
"Cetirizine","Non","2'-deoxycytidine","C177",1,"cells","b7",10493.9208984375
"Cetirizine","Non","Arachidonic Acid","C177",30,"media","a10",405446.5625
"Cetirizine","Non","Thymidine.D4","C177",0.03,"cells","d4",62302.6640625
"Cetirizine","Non","Arachidonic Acid","C177",1,"cells","c7",326623.25
"Cetirizine","Non","Lactate","C177",30,"cells","c10",47051.21875
"Cetirizine","Non","Thymidine.D4","C177",10,"cells","d9",67438.2265625
"Cetirizine","Non","Arachidonic Acid","C177",3,"media","a8",372372.34375
"Cetirizine","Non","2'-deoxycytidine","C177",0.3,"media","a6",1110.59020996094
"Cetirizine","Non","Lactate","C177",10,"cells","d9",34733.76953125
"Cetirizine","Non","Thymidine.D4","C177",1,"cells","d7",67797.4140625
"Cetirizine","Non","Citrulline-D4","C177",100,"cells","d11",33685.05859375
"Cetirizine","Non","Thymidine","C177",0.3,"cells","b6",21387.544921875
"Cetirizine","Non","Arachidonic Acid","C177",0.3,"cells","c6",326708.9375
"Cetirizine","Non","Thymidine","C177",100,"cells","d11",17086.255859375
"Cetirizine","Non","Thymidine.D4","C177",3,"cells","c8",69936.09375
"Cetirizine","Non","Lactate.D3","C177",0.03,"cells","d4",9685.0712890625
"Cetirizine","Non","Citrulline-D4","C177",0.1,"cells","b5",32965.74609375
"Cetirizine","Non","Arachidonic Acid","C177",1,"cells","d7",332492.21875
"Cetirizine","Non","Thymidine.D4","C177",0.3,"media","a6",69604.625
"Cetirizine","Non","Lactate.D3","C177",1,"cells","d7",12915.2802734375
"Cetirizine","Non","Lactate.D3","C177",1,"cells","b7",10691.4658203125
"Cetirizine","Non","Thymidine","C177",1,"cells","c7",21029.5234375
"Cetirizine","Non","2'-deoxycytidine","C177",1,"cells","c7",10941.029296875
"Cetirizine","Non","Lactate.D3","C177",0.3,"media","a6",12926.7490234375
"Cetirizine","Non","Citrulline-D4","C177",100,"cells","c11",33180.953125
"Cetirizine","Non","Lactate.D3","C177",3,"cells","c8",11888.0029296875
"Cetirizine","Non","Arachidonic Acid","C177",0.3,"media","a6",383754.125
"Cetirizine","Non","Arachidonic Acid","C177",30,"cells","b10",717832.3125
"Cetirizine","Non","Thymidine","C177",0.1,"cells","d5",18530.5078125
"Cetirizine","Non","Lactate.D3","C177",0.03,"media","a4",10735.8193359375
"Cetirizine","Non","Thymidine.D4","C177",0.3,"cells","b6",70585.625
"Cetirizine","Non","Thymidine","C177",0.1,"cells","b5",19312.12109375
"Cetirizine","Non","Arachidonic Acid","C177",100,"media","a11",389950
"Cetirizine","Non","Arachidonic Acid","C177",100,"cells","b11",1093458.25
"Cetirizine","Non","Arachidonic Acid","C177",3,"cells","c8",353492.8125
"Cetirizine","Non","Thymidine","C177",1,"cells","d7",21137.509765625
"Cetirizine","Non","Lactate.D3","C177",3,"media","a8",11803.2861328125
"Cetirizine","Non","Thymidine.D4","C177",1,"cells","b7",65366.34765625
"Cetirizine","Non","Lactate","C177",0.1,"cells","b5",31036.83203125
"Cetirizine","Non","Lactate.D3","C177",3,"cells","b8",11219.1416015625
"Cetirizine","Non","Thymidine","C177",100,"media","a11",4672.501953125
"Cetirizine","Non","Thymidine","C177",0.3,"cells","d6",19892.60546875
"Cetirizine","Non","Thymidine.D4","C177",0.03,"cells","b4",71287.453125
"Cetirizine","Non","Arachidonic Acid","C177",10,"cells","d9",336624.84375
"Cetirizine","Non","2'-deoxycytidine","C177",3,"media","a8",1204.72778320312
"Cetirizine","Non","Thymidine","C177",30,"cells","d10",23380.236328125
"Cetirizine","Non","2'-deoxycytidine","C177",100,"media","a11",936.353393554688
"Cetirizine","Non","2'-deoxycytidine","C177",100,"cells","b11",5255.9736328125
"Cetirizine","Non","Citrulline-D4","C177",0.1,"cells","d5",29155.52734375
"Cetirizine","Non","Thymidine","C177",1,"cells","b7",22191.79296875
"Cetirizine","Non","Citrulline-D4","C177",10,"cells","d9",32276.931640625
"Cetirizine","Non","Citrulline-D4","C177",10,"cells","c9",32224.95703125
"Cetirizine","Non","Lactate","C177",0.1,"media","a5",18538.263671875
"Cetirizine","Non","Arachidonic Acid","C177",0.1,"cells","d5",309481.09375
"Cetirizine","Non","Lactate.D3","C177",3,"cells","d8",11444.2607421875
"Cetirizine","Non","Thymidine.D4","C177",30,"media","a10",69810.53125
"Cetirizine","Non","Citrulline-D4","C177",30,"cells","b10",30963.361328125
"Cetirizine","Non","Arachidonic Acid","C177",0.03,"media","a4",348986.3125
"Cetirizine","Non","Lactate","C177",30,"media","a10",18084.123046875
"Cetirizine","Non","Citrulline-D4","C177",0.3,"media","a6",33541.1484375
"Cetirizine","Non","Citrulline-D4","C177",0.3,"cells","b6",32454.845703125
"Cetirizine","Non","Lactate","C177",0.03,"cells","b4",29256.5703125
"Cetirizine","Non","Thymidine","C177",100,"cells","b11",16445.859375
"Cetirizine","Non","Arachidonic Acid","C177",0.1,"cells","b5",346636.9375
"Cetirizine","Non","Thymidine","C177",1,"media","a7",4751.42529296875
"Cetirizine","Non","Arachidonic Acid","C177",0.03,"cells","c4",296656.40625
"Cetirizine","Non","Thymidine","C177",0.3,"cells","c6",20275.1328125
"Cetirizine","Non","Arachidonic Acid","C177",0.03,"cells","d4",280162.375
"Cetirizine","Non","2'-deoxycytidine","C177",30,"cells","b10",9651.794921875
"Cetirizine","Non","2'-deoxycytidine","C177",30,"cells","d10",9627.9130859375
"Cetirizine","Non","Thymidine.D4","C177",3,"media","a8",73479.5078125
"Cetirizine","Non","Thymidine","C177",30,"cells","b10",22279.84765625
"Cetirizine","Non","Thymidine","C177",0.1,"media","a5",4520.10107421875
"Cetirizine","Non","Lactate.D3","C177",1,"cells","c7",12719.28515625
"Cetirizine","Non","Lactate.D3","C177",1,"media","a7",12340.4814453125
"Cetirizine","Non","Citrulline-D4","C177",10,"cells","b9",32717.34375
"Cetirizine","Non","Lactate","C177",0.03,"media","a4",17013.88671875
"Cetirizine","Non","2'-deoxycytidine","C177",100,"cells","d11",5072.8779296875
"Cetirizine","Non","Arachidonic Acid","C177",0.1,"cells","c5",326658.875
"Cetirizine","Non","Lactate","C177",0.03,"cells","d4",29304.140625
"Cetirizine","Non","Thymidine","C177",0.3,"media","a6",4861.328125
"Cetirizine","Non","Arachidonic Acid","C177",0.03,"cells","b4",327086.40625
"Cetirizine","Non","Citrulline-D4","C177",10,"media","a9",34790.49609375
"Cetirizine","Non","Citrulline-D4","C177",100,"media","a11",32867.359375
"Cetirizine","Non","Lactate.D3","C177",10,"cells","c9",11015.06640625
"Cetirizine","Non","Lactate.D3","C177",0.03,"cells","b4",10277.6416015625
"Cetirizine","Non","Lactate.D3","C177",10,"cells","d9",12053.7021484375
"Cetirizine","Non","Thymidine.D4","C177",10,"cells","b9",64998.8984375
"Cetirizine","Non","Thymidine.D4","C177",30,"cells","c10",68713.03125
"Cetirizine","Non","Citrulline-D4","C177",30,"media","a10",32969.5390625
"Cetirizine","Non","Thymidine.D4","C177",30,"cells","b10",67287.7578125
"Cetirizine","Non","Citrulline-D4","C177",30,"cells","c10",31643.2421875
"Cetirizine","Non","Thymidine.D4","C177",10,"media","a9",71267.6171875
"Cetirizine","Non","2'-deoxycytidine","C177",100,"cells","c11",5113.212890625
"Cetirizine","Non","Thymidine","C177",30,"media","a10",5577.748046875
"Cetirizine","Non","Thymidine","C177",30,"cells","c10",23824.0078125
"Cetirizine","Non","Arachidonic Acid","C177",0.1,"media","a5",405755.625
"Cetirizine","Non","Citrulline-D4","C177",30,"cells","d10",31972.12109375
"Cetirizine","Non","Thymidine.D4","C177",30,"cells","d10",68835.2109375
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.3,"cells","g6",28043.90234375
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.03,"cells","g4",8803.462890625
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",3,"cells","f8",9097.8349609375
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.1,"cells","e5",24774.95703125
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",100,"cells","e11",32224.5234375
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.1,"media","h5",932.43359375
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.03,"cells","f4",11390.7041015625
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",1,"media","h7",4508.61181640625
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.03,"media","h4",19048.642578125
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",3,"cells","g8",11830.01953125
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",0.3,"cells","f6",69267.5625
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",100,"media","h11",66043.3203125
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",3,"cells","g8",19917.8828125
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",3,"cells","e8",9477.607421875
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.3,"media","h6",31680.07421875
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",0.03,"media","h4",11017.1103515625
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",100,"cells","f11",11878.2412109375
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",30,"cells","f10",13248.296875
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",1,"cells","g7",21294.501953125
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",1,"cells","e7",18566.66015625
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",3,"media","h8",884.692199707031
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.1,"cells","f5",28366.87109375
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.1,"cells","e5",29939.880859375
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.1,"cells","g5",28963.2890625
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.1,"cells","f5",26519.41015625
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",100,"cells","f11",33269.10546875
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.1,"cells","g5",9717.7509765625
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",100,"media","h11",17519.296875
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",10,"cells","e9",15419.6162109375
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",0.03,"cells","e4",18405.654296875
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",10,"cells","g9",15471.3076171875
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.03,"cells","g4",26552.34765625
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",0.03,"cells","f4",10306.13671875
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",0.1,"media","h5",360832.65625
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",0.1,"cells","g5",63605.22265625
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.3,"cells","e6",29571.02734375
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",0.1,"cells","e5",63862.59375
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",30,"cells","e10",260562.640625
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",0.3,"cells","g6",64014.19140625
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",100,"cells","g11",68290.8125
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",100,"cells","g11",20850.87890625
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",100,"cells","e11",10767.017578125
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",3,"cells","g8",326453.53125
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",10,"media","h9",4452.5498046875
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.3,"media","h6",16063.8251953125
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",0.03,"cells","e4",10432.4306640625
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",3,"media","h8",344931.3125
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",3,"cells","e8",286573.40625
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",100,"cells","e11",5444.9150390625
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",3,"cells","g8",105340.5546875
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",0.1,"cells","g5",378395.5
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",3,"cells","e8",115080.8671875
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",0.3,"cells","e6",303943.4375
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",0.3,"cells","f6",385887.5
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",100,"media","h11",370351.6875
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",100,"cells","e11",20882.814453125
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",30,"cells","f10",148707.46875
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.1,"cells","e5",9182.2607421875
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",1,"media","h7",346169.9375
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",30,"cells","g10",63884.0625
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",100,"media","h11",4338.16650390625
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",30,"media","h10",32618.787109375
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",30,"cells","g10",30087.181640625
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",100,"media","h11",10634.2060546875
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.3,"cells","g6",10775.0966796875
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",10,"cells","e9",138023.515625
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",0.03,"cells","g4",9709.658203125
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",3,"media","h8",4644.376953125
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",10,"cells","g9",119888.171875
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.3,"cells","e6",28788.439453125
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",1,"cells","e7",44394.5703125
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.03,"media","h4",855.837707519531
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",30,"media","h10",11691.341796875
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",10,"media","h9",15922.181640625
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.3,"cells","g6",36859.99609375
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",1,"cells","g7",396712.125
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",10,"cells","g9",60626.51953125
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",3,"media","h8",15693.3515625
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",1,"cells","f7",19832.66015625
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.3,"cells","e6",12059.4228515625
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",0.3,"cells","e6",66197.1484375
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",100,"cells","f11",660890.4375
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",30,"cells","f10",6789.6591796875
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.1,"cells","f5",9494.5576171875
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",30,"cells","g10",12194.091796875
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",30,"media","h10",19334.1875
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",1,"cells","f7",374169.375
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",100,"cells","g11",5544.43359375
"Levomethadyl Acetate","Cardiotoxic","Thymidine","C177",100,"cells","f11",6310.73486328125
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",30,"cells","f10",31339.37109375
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",0.1,"cells","f5",313698.125
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.03,"cells","f4",30572.076171875
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",0.03,"cells","f4",65286.984375
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",3,"cells","f8",102497.890625
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.03,"cells","e4",10438.8310546875
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",30,"cells","e10",147324.640625
"Levomethadyl Acetate","Cardiotoxic","Arachidonic Acid","C177",100,"cells","g11",638721.9375
"Levomethadyl Acetate","Cardiotoxic","Lactate.D3","C177",10,"cells","g9",13078.80859375
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",0.3,"cells","f6",37798.30078125
"Levomethadyl Acetate","Cardiotoxic","Citrulline-D4","C177",0.03,"media","h4",32002.20703125
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",0.1,"cells","f5",67496.0078125
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",10,"cells","g9",146824.296875
"Levomethadyl Acetate","Cardiotoxic","Thymidine.D4","C177",1,"cells","e7",69040.3359375
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",1,"cells","f7",58885.64453125
"Levomethadyl Acetate","Cardiotoxic","Lactate","C177",1,"cells","g7",61733.97265625
"Levomethadyl Acetate","Cardiotoxic","2'-deoxycytidine","C177",0.3,"cells","f6",11103.8642578125
